gene_id	gene_length	mff1	mff2	mff3	mff4	mfm1	mfm2	mfm3	mfm4	muf1	muf2	muf3	muf4	mum1	mum2	mum3	mum4
YQE_00091	924	856	739	571	632	629	478	564	312	472	1055	948	441	796	775	704	932
YQE_04210	1014	11	7	2	1	3	2	2	7	4	28	1	3	4	4	4	2
YQE_04211	225	6	0	0	1	0	2	2	0	1	5	0	0	0	0	0	0
YQE_04212	648	4	0	1	0	0	1	0	1	1	9	2	1	1	3	1	3
YQE_00270	471	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
YQE_01522	1449	110	102	69	134	148	175	154	101	110	121	58	54	177	239	138	251
YQE_01523	1320	114	271	68	187	161	30	142	16	81	64	62	73	196	207	22	416
YQE_01524	733	53	161	23	73	85	17	87	6	46	34	37	45	83	78	18	193
YQE_01525	2823	318	195	239	265	179	182	145	157	255	439	214	196	259	284	259	316
YQE_01526	1625	5	2	1	1	253	7	10	1	6	0	2	5	1653	1542	2	834
YQE_01527	2253	174	115	95	134	133	131	92	82	140	240	132	148	178	174	148	167
YQE_01528	1077	286	62	12	31	18	9	15	9	30	459	16	21	24	32	17	16
YQE_01529	480	2	6	2	5	3	0	0	0	5	6	5	2	12	14	1	9
YQE_01530	2076	132	72	62	87	88	103	63	57	107	193	110	69	147	188	133	149
YQE_01531	1494	277	192	189	176	143	172	141	128	196	258	167	133	192	214	185	210
YQE_01532	897	249	167	142	205	162	177	164	125	167	256	168	129	182	197	149	214
YQE_01533	1230	56	36	16	27	34	24	31	20	42	90	32	20	43	65	32	50
YQE_00162	864	99	99	61	96	135	33	95	7	78	78	91	79	140	142	42	200
YQE_01344	2068	125	81	97	109	190	222	190	196	110	144	86	75	262	259	215	313
YQE_01345	531	111	61	68	76	75	75	72	55	92	111	61	67	96	96	97	98
YQE_04050	1099	511	388	237	354	323	376	321	339	163	229	132	125	161	181	168	159
EMDPOG00000000065	72	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
EMDPOG00000000277	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YQE_04051	764	31	25	21	24	20	29	15	24	19	27	33	12	17	20	23	22
YQE_04052	936	167	111	88	108	122	123	110	85	111	135	148	102	137	149	122	154
YQE_04053	804	38	23	26	32	15	24	14	21	32	41	21	31	37	37	25	39
YQE_04054	1038	324	305	235	396	195	226	188	174	254	302	329	288	257	306	249	322
YQE_04055	1026	0	0	0	5	2	1	1	2	0	2	2	2	8	7	0	2
YQE_04056	1023	445	581	428	440	939	913	1402	1195	154	176	338	233	724	879	719	942
YQE_00969	2379	18	21	20	14	34	29	22	26	45	15	26	19	73	61	41	47
YQE_03637	2297	839	817	810	983	1401	1505	1134	1190	791	564	695	777	702	886	740	822
YQE_03638	1512	2478	2243	2446	2904	3526	3630	3244	3210	3371	2483	3007	2469	3335	4125	3456	4044
YQE_03639	1870	451	384	248	314	297	274	291	226	403	539	369	224	391	449	308	445
YQE_03640	1859	663	651	605	594	545	584	495	427	552	638	549	463	696	796	585	789
YQE_03641	577	621	537	408	465	555	562	451	385	485	477	410	402	571	676	490	522
YQE_03642	2105	3	6	2	6	3	6	8	3	17	21	13	7	13	12	10	11
YQE_03643	3205	565	353	288	329	254	287	326	202	273	646	313	232	274	295	225	291
YQE_03644	1470	1009	689	603	819	721	688	692	539	562	802	619	483	598	640	523	693
YQE_03645	4314	292	194	153	176	128	157	167	118	170	368	170	100	216	230	168	216
YQE_03646	1084	301	208	140	177	155	189	161	140	103	211	198	119	148	159	112	236
YQE_03647	4139	1252	1055	825	1115	1209	1147	1040	672	703	986	870	718	917	892	801	1055
EMDPOG00000000310	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YQE_03648	938	581	582	473	654	638	647	492	424	544	640	508	530	610	673	499	669
YQE_03649	970	134	94	60	95	81	86	65	54	100	167	114	112	137	142	117	157
YQE_03650	1160	677	451	417	488	354	386	562	347	468	573	413	292	345	442	306	388
YQE_03651	678	79	27	23	18	18	17	22	16	22	112	19	19	29	28	14	35
YQE_03652	2989	2091	1363	1364	1593	1308	1355	1301	1053	1282	1967	1427	1115	1484	1528	1269	1935
YQE_03653	1638	696	452	381	449	439	451	423	318	444	673	418	313	651	753	485	656
YQE_03654	2010	1118	672	539	643	571	548	544	437	487	1081	497	382	654	683	520	671
YQE_03655	690	17	9	8	10	15	13	4	10	6	11	13	6	23	47	3	31
YQE_03656	1500	151	107	76	77	71	62	52	47	47	187	38	61	76	72	45	79
YQE_03657	2015	707	391	320	409	393	394	338	273	407	789	412	304	424	459	374	490
YQE_03658	1260	61	49	53	49	55	51	41	40	59	67	67	49	72	72	68	73
YQE_03659	1539	762	495	385	545	422	396	430	326	511	893	554	439	642	636	560	687
YQE_03660	630	360	244	232	386	343	281	252	220	299	491	281	276	353	354	319	472
YQE_03661	928	119	57	89	124	83	82	76	60	111	146	78	92	126	108	107	134
YQE_03662	1794	876	792	560	847	732	747	711	510	1009	1115	942	700	821	1104	757	1045
YQE_03663	1512	251	97	63	81	79	81	65	57	80	361	72	79	103	95	84	99
YQE_03664	2151	979	807	658	862	826	757	853	606	922	1016	775	718	982	1062	760	1078
YQE_03665	2771	610	336	276	348	313	328	282	230	451	655	410	303	432	528	351	502
YQE_03666	1412	1836	1404	1111	1483	1228	1354	1592	1112	1282	1746	1350	1017	1377	1490	1145	1499
YQE_03667	2465	310	209	160	226	211	180	149	154	208	419	190	165	205	226	163	250
YQE_03668	4039	794	483	498	625	473	538	483	422	611	964	551	504	500	579	470	678
YQE_03669	1735	90	53	40	54	38	49	35	40	39	90	52	46	76	114	58	99
YQE_03670	1583	167	110	70	141	93	112	84	115	48	81	72	48	84	88	63	71
YQE_03671	1127	1272	1085	855	1185	786	995	1085	790	1038	1484	1124	799	897	1163	905	1156
YQE_03672	1884	22	4	6	3	3	3	1	1	1	11	0	0	14	6	0	8
YQE_03673	3007	2046	1785	1291	1654	1178	1514	1223	1157	1517	3207	2444	1669	2960	2369	2206	3274
YQE_03674	840	6	11	9	3	6	8	7	1	17	19	16	10	11	13	9	11
YQE_03675	645	10	8	4	10	11	13	11	7	22	29	15	11	27	32	20	21
